,q,r,s,time,Ca_cyt,IP3,Ca_stored,IP3R_act
0,0.0,0.0,0.0,105.0,0.0680559874309729,0.1217942871878621,10.442940608481225,0.8386989902123958
1,0.0,1.0,-1.0,56.5,0.0771120258429866,0.1515384462627505,10.39398904949737,0.8436020683045755
2,-1.0,2.0,-1.0,95.5,0.0642384140192612,0.1096094809687803,10.463576140436423,0.8116998830355431
3,-1.0,3.0,-2.0,87.0,0.0609990481536351,0.1010334223748077,10.481086226196574,0.7485282548503542
4,-2.0,4.0,-2.0,80.0,0.0624901893519912,0.1515027907299201,10.473026003502763,0.6397581317698409
5,-2.0,5.0,-3.0,97.0,0.0648476615564131,0.111506304948545,10.460282910505873,0.8181357462732388
6,-3.0,6.0,-3.0,99.5,0.0658607390673664,0.1147079724273518,10.45480681585207,0.8267489114835235
7,-3.0,7.0,-4.0,112.0,0.0707738722923291,0.1307624070063753,10.42824933896038,0.8450508283652693
8,-4.0,8.0,-4.0,111.5,0.0705813713811116,0.1301225236391579,10.429289884426424,0.8448187654420368
9,-4.0,9.0,-5.0,112.5,0.0709663817120461,0.1314027566911694,10.427208747502451,0.8452562686337612
10,-5.0,10.0,-5.0,78.5,0.0662421845711764,0.2228023241759736,10.452744948263923,0.6065006603096309
11,-5.0,11.0,-6.0,95.5,0.0642384140192612,0.1096094809687803,10.463576140436423,0.8116998830355431
12,-6.0,12.0,-6.0,106.0,0.0684488576341929,0.1230796210527276,10.440816985761115,0.8400925138830307
13,-6.0,13.0,-7.0,104.5,0.0678588181426559,0.1211509582893453,10.444006388418073,0.8379260180438924
14,-7.0,14.0,-7.0,99.5,0.0658607390673664,0.1147079724273518,10.45480681585207,0.8267489114835235
15,-7.0,15.0,-8.0,114.0,0.0715447477083268,0.1333285513001797,10.424082444819856,0.8457247105993582
16,-8.0,16.0,-8.0,89.5,0.061863812869101,0.1027072173344744,10.476411822329194,0.7729613381558017
17,-8.0,17.0,-9.0,57.0,0.0774115073048628,0.1524726630532572,10.392370230784527,0.8433469544428791
18,-9.0,18.0,-9.0,71.0,0.9309270609387098,0.9474874809858288,5.778772643574559,0.6192356638158272
19,-9.0,19.0,-10.0,48.5,0.0733692287753592,0.1394012010390197,10.41422038499806,0.8460190169349205
20,-10.0,20.0,-10.0,61.0,0.0805949527729934,0.1619407636706092,10.37516241744329,0.8407449774021097
21,-10.0,21.0,-11.0,108.0,0.0692290946112425,0.1256447964642163,10.436599488587882,0.8423328007155083
22,-11.0,22.0,-11.0,53.0,0.0753031791556472,0.1457616905189161,10.40376659915866,0.8450447933639933
23,-11.0,23.0,-12.0,110.0,0.0700032666009172,0.1282041192285032,10.43241477513018,0.8439497152154216
24,-12.0,24.0,-12.0,76.5,0.0763690855287255,0.4875003475136795,10.398004943087985,0.5559182712828733
25,-12.0,25.0,-13.0,82.5,0.0604576294717779,0.1107098257593523,10.484012813666078,0.6867287364281798
26,-13.0,26.0,-13.0,81.0,0.061247337953628,0.1281976573169397,10.479744119169592,0.6597746687910251
27,-13.0,27.0,-14.0,50.0,0.073985998726119,0.1414434708659651,10.410886493372324,0.8458126418160119
28,-14.0,28.0,-14.0,88.5,0.0614999602208886,0.1018557306365725,10.47837859340061,0.7638998064774354
29,-14.0,29.0,-15.0,49.5,0.0737781239148184,0.1407562337195934,10.412010141000977,0.8458955017935941
30,1.0,0.0,-1.0,56.0,0.0768254921381964,0.1506382177801355,10.395537880334071,0.8438443635791913
31,1.0,1.0,-2.0,85.0,0.0604870923806692,0.1017123238461626,10.483853554699094,0.7242504918719469
32,0.0,2.0,-2.0,94.0,0.0636308073747793,0.1077470197570082,10.46686050067687,0.8041405110182378
33,0.0,3.0,-3.0,88.0,0.0613258090523197,0.1015067587942805,10.479319951068549,0.7590235957982057
34,-1.0,4.0,-3.0,100.0,0.0660625050176439,0.1153515076474238,10.45371618909381,0.8281957530906365
35,-1.0,5.0,-4.0,86.5,0.0608497143301515,0.1009504059008949,10.481893436053245,0.7428871564324524
36,-2.0,6.0,-4.0,79.5,0.0634437861764905,0.169034218137814,10.46787142607304,0.6291088864053728
37,-2.0,7.0,-5.0,72.0,0.7697567126020116,1.036558765086082,6.64996371566482,0.5517069349033858
38,-3.0,8.0,-5.0,96.5,0.064644558544181,0.1108712179480946,10.461380764626046,0.8161060048312718
39,-3.0,9.0,-6.0,48.5,0.0733692287753592,0.1394012010390197,10.41422038499806,0.8460190169349205
40,-4.0,10.0,-6.0,107.5,0.0690346761681459,0.1250041603762308,10.437650399091105,0.8418358343207619
41,-4.0,11.0,-7.0,86.0,0.0607126060996759,0.1010077725753403,10.482634561623382,0.7369684952508123
42,-5.0,12.0,-7.0,102.5,0.0670651712481728,0.1185741859728212,10.448296371631494,0.8342665769844665
43,-5.0,13.0,-8.0,72.5,0.6700563168210277,1.0567056709964486,7.1888847739404085,0.5307398390114114
44,-6.0,14.0,-8.0,82.5,0.0604576294717779,0.1107098257593523,10.484012813666078,0.6867287364281798
45,-6.0,15.0,-9.0,66.5,0.0974558364621775,0.2004702512697959,10.284022505609864,0.8329818159605727
46,-7.0,16.0,-9.0,51.5,0.0746271586869277,0.1435543234872631,10.407420763854445,0.8454847928906916
47,-7.0,17.0,-10.0,47.0,0.0727692123651316,0.1374070189020429,10.417463716945235,0.8460908021227952
48,-8.0,18.0,-10.0,52.5,0.0750731645364891,0.1450130539416909,10.40500992142438,0.8452035090484713
49,-8.0,19.0,-11.0,80.0,0.0624901893519912,0.1515027907299201,10.473026003502763,0.6397581317698409
50,-9.0,20.0,-11.0,50.0,0.073985998726119,0.1414434708659651,10.410886493372324,0.8458126418160119
51,-9.0,21.0,-12.0,86.5,0.0608497143301515,0.1009504059008949,10.481893436053245,0.7428871564324524
52,-10.0,22.0,-12.0,70.0,0.908366248400719,0.7619038430248725,5.900722981617752,0.719568628143843
53,-10.0,23.0,-13.0,80.0,0.0624901893519912,0.1515027907299201,10.473026003502763,0.6397581317698409
54,-11.0,24.0,-13.0,112.5,0.0709663817120461,0.1314027566911694,10.427208747502451,0.8452562686337612
55,-11.0,25.0,-14.0,85.5,0.0605905477829045,0.1012447270956089,10.483294336308632,0.730760357621891
56,-12.0,26.0,-14.0,58.5,0.0784080274744031,0.1555292701189834,10.3869836352735,0.8424987525352898
57,-12.0,27.0,-15.0,95.0,0.0640355533986037,0.1089839343186954,10.46467268433187,0.8093126040702355
58,-13.0,28.0,-15.0,75.5,0.1182214170248448,0.7671171702364965,10.171776124190044,0.529031628927113
59,-13.0,29.0,-16.0,113.5,0.0713517333510865,0.132685612382971,10.425125765669804,0.8455920843074637
60,2.0,0.0,-2.0,81.0,0.061247337953628,0.1281976573169397,10.479744119169592,0.6597746687910251
61,2.0,1.0,-3.0,50.5,0.0741965607716781,0.1421382684365697,10.409748320153088,0.8457163157067312
62,1.0,2.0,-3.0,109.5,0.0698101760735407,0.1275646372560763,10.433458507710595,0.8435976970176452
63,1.0,3.0,-4.0,78.5,0.0662421845711764,0.2228023241759736,10.452744948263923,0.6065006603096309
64,0.0,4.0,-4.0,64.5,0.0867308547577743,0.1778835447324189,10.341995379687717,0.8369937390180332
65,0.0,5.0,-5.0,90.0,0.0620517544227145,0.1031902208470246,10.47539592203939,0.777166319672721
66,-1.0,6.0,-5.0,111.0,0.0703888106079148,0.1294829422253358,10.430330753470733,0.8445588004464851
67,-1.0,7.0,-6.0,85.0,0.0604870923806692,0.1017123238461626,10.483853554699094,0.7242504918719469
68,-2.0,8.0,-6.0,60.0,0.0796135594978108,0.1591146557085701,10.380467245957789,0.8415065275002538
69,-2.0,9.0,-7.0,83.5,0.0603397693296105,0.1052741899213742,10.48464989551563,0.7027837970631301
70,-3.0,10.0,-7.0,91.5,0.0626320704174189,0.104790460088589,10.472259078824772,0.7885882419068635
71,-3.0,11.0,-8.0,112.5,0.0709663817120461,0.1314027566911694,10.427208747502451,0.8452562686337612
72,-4.0,12.0,-8.0,96.0,0.0644414478280899,0.1102387739058863,10.4624786603887,0.8139624936897493
73,-4.0,13.0,-9.0,55.5,0.0765503197846683,0.1497680191730233,10.397025298461251,0.8440742431403139
74,-5.0,14.0,-9.0,84.0,0.0603551892052503,0.1036264576974713,10.484566544836497,0.7102751074154322
75,-5.0,15.0,-10.0,100.5,0.0662638951317224,0.11599558668733,10.452627593882577,0.82956021221022
76,-6.0,16.0,-10.0,108.5,0.0694231287175614,0.1262850501140958,10.435550655580752,0.8427909148998373
77,-6.0,17.0,-11.0,70.0,0.908366248400719,0.7619038430248725,5.900722981617752,0.719568628143843
78,-7.0,18.0,-11.0,54.0,0.0757802674134576,0.1473054818736718,10.401187743711036,0.8446919151605368
79,-7.0,19.0,-12.0,78.0,0.068143183182748,0.2633980872127064,10.442469280093269,0.5945340030284674
80,-8.0,20.0,-12.0,53.5,0.0755386519323532,0.1465252367335238,10.402493773338628,0.8448742345989303
81,-8.0,21.0,-13.0,70.5,0.9602371053425204,0.8699672324201959,5.620339971121529,0.6663607485946748
82,-9.0,22.0,-13.0,110.5,0.0701961278041172,0.1288435169004202,10.43137228213991,0.8442695881989617
83,-9.0,23.0,-14.0,86.5,0.0608497143301515,0.1009504059008949,10.481893436053245,0.7428871564324524
84,-10.0,24.0,-14.0,105.5,0.0682526643934937,0.1224371822308952,10.441877489764895,0.8394203629596214
85,-10.0,25.0,-15.0,82.0,0.0606187138828801,0.114951356899456,10.483142087119578,0.678139183149864
86,-11.0,26.0,-15.0,78.0,0.068143183182748,0.2633980872127064,10.442469280093269,0.5945340030284674
87,-11.0,27.0,-16.0,79.0,0.0646811422036438,0.1921876984002077,10.461183015115454,0.6180243945627981
88,-12.0,28.0,-16.0,71.0,0.9309270609387098,0.9474874809858288,5.778772643574559,0.6192356638158272
89,-12.0,29.0,-17.0,54.0,0.0757802674134576,0.1473054818736718,10.401187743711036,0.8446919151605368
90,3.0,0.0,-3.0,51.0,0.0744101533830329,0.1428415457658388,10.408593765497116,0.8456069172197892
