,q,r,s,time,Ca_cyt,IP3,Ca_stored,IP3R_act
0,0.0,0.0,0.0,90.5,0.0622427894523914,0.1037017990457941,10.474363300257352,0.7811665905737101
1,1.0,0.0,-1.0,91.0,0.0624363779071552,0.1042366230957261,10.473316876177549,0.784971050399681
2,2.0,0.0,-2.0,73.5,0.4677949222264291,1.0560195140803696,8.28218960958689,0.5096926251012548
3,3.0,0.0,-3.0,63.0,0.0833200285380285,0.1693676721581307,10.360432278172828,0.8388788696440713
4,4.0,0.0,-4.0,91.0,0.0624363779071552,0.1042366230957261,10.473316876177549,0.784971050399681
5,5.0,0.0,-5.0,70.5,0.9602371053425204,0.8699672324201959,5.620339971121529,0.6663607485946748
6,6.0,0.0,-6.0,90.0,0.0620517544227145,0.1031902208470246,10.47539592203939,0.777166319672721
7,7.0,0.0,-7.0,52.0,0.0748480032142509,0.1442777372689833,10.406227009652696,0.8453502408242044
8,8.0,0.0,-8.0,87.0,0.0609990481536351,0.1010334223748077,10.481086226196574,0.7485282548503542
9,9.0,0.0,-9.0,48.0,0.073167676295377,0.1387319756532004,10.415309857862828,0.8460586544210993
10,10.0,0.0,-10.0,99.5,0.0658607390673664,0.1147079724273518,10.45480681585207,0.8267489114835235
11,11.0,0.0,-11.0,113.5,0.0713517333510865,0.132685612382971,10.425125765669804,0.8455920843074637
12,12.0,0.0,-12.0,83.0,0.0603698731911697,0.1075699247633175,10.484487171939636,0.6949393453147418
13,13.0,0.0,-13.0,105.0,0.0680559874309729,0.1217942871878621,10.442940608481225,0.8386989902123958
14,14.0,0.0,-14.0,60.0,0.0796135594978108,0.1591146557085701,10.380467245957789,0.8415065275002538
15,15.0,0.0,-15.0,53.0,0.0753031791556472,0.1457616905189161,10.40376659915866,0.8450447933639933
16,16.0,0.0,-16.0,63.0,0.0833200285380285,0.1693676721581307,10.360432278172828,0.8388788696440713
17,17.0,0.0,-17.0,89.0,0.0616796173013282,0.1022595305791829,10.477407474046885,0.7685423803838772
18,18.0,0.0,-18.0,91.5,0.0626320704174189,0.104790460088589,10.472259078824772,0.7885882419068635
19,19.0,0.0,-19.0,74.5,0.2775699638076249,0.983822257992006,9.310432628066913,0.5107379227125103
20,20.0,0.0,-20.0,57.0,0.0774115073048628,0.1524726630532572,10.392370230784527,0.8433469544428791
21,21.0,0.0,-21.0,87.5,0.0611583506360017,0.1012266404813661,10.480225131697294,0.7539033426361337
22,22.0,0.0,-22.0,96.5,0.064644558544181,0.1108712179480946,10.461380764626046,0.8161060048312718
23,23.0,0.0,-23.0,66.0,0.0934044567888465,0.192558574561559,10.305921855195434,0.8342586032894549
24,24.0,0.0,-24.0,70.0,0.908366248400719,0.7619038430248725,5.900722981617752,0.719568628143843
25,25.0,0.0,-25.0,99.0,0.0656586315681056,0.1140651765530141,10.45589928882105,0.8252157782771041
26,26.0,0.0,-26.0,93.0,0.0632282999055517,0.106535429612467,10.46903621672675,0.7983964986513007
27,27.0,0.0,-27.0,104.5,0.0678588181426559,0.1211509582893453,10.444006388418073,0.8379260180438924
28,28.0,0.0,-28.0,81.0,0.061247337953628,0.1281976573169397,10.479744119169592,0.6597746687910251
29,29.0,0.0,-29.0,80.0,0.0624901893519912,0.1515027907299201,10.473026003502763,0.6397581317698409
30,30.0,0.0,-30.0,112.5,0.0709663817120461,0.1314027566911694,10.427208747502451,0.8452562686337612
31,31.0,0.0,-31.0,109.0,0.0696168104267666,0.1269249746791586,10.434503727422888,0.8432119752929504
32,32.0,0.0,-32.0,56.5,0.0771120258429866,0.1515384462627505,10.39398904949737,0.8436020683045755
33,33.0,0.0,-33.0,48.0,0.073167676295377,0.1387319756532004,10.415309857862828,0.8460586544210993
34,34.0,0.0,-34.0,51.0,0.0744101533830329,0.1428415457658388,10.408593765497116,0.8456069172197892
35,35.0,0.0,-35.0,47.5,0.072967740284593,0.1380674347840345,10.416390593056258,0.8460827905965244
36,36.0,0.0,-36.0,54.5,0.0760288035210493,0.1481044469084904,10.399844305291625,0.8444978547448423
37,37.0,0.0,-37.0,69.0,0.3996529161916762,0.4468477879948863,8.650524777342305,0.8049199222962171
38,38.0,0.0,-38.0,53.5,0.0755386519323532,0.1465252367335238,10.402493773338628,0.8448742345989303
39,39.0,0.0,-39.0,97.5,0.0650506823335822,0.1121435981741994,10.459185500899553,0.8200568184941636
40,40.0,0.0,-40.0,104.5,0.0678588181426559,0.1211509582893453,10.444006388418073,0.8379260180438924
41,41.0,0.0,-41.0,51.5,0.0746271586869277,0.1435543234872631,10.407420763854445,0.8454847928906916
42,42.0,0.0,-42.0,78.5,0.0662421845711764,0.2228023241759736,10.452744948263923,0.6065006603096309
43,43.0,0.0,-43.0,92.5,0.0630283233885902,0.1059423173153604,10.470117170872488,0.79529326839779
44,44.0,0.0,-44.0,101.5,0.0666654340813099,0.1172847066430198,10.450457113073991,0.8320567727503889
45,45.0,0.0,-45.0,54.0,0.0757802674134576,0.1473054818736718,10.401187743711036,0.8446919151605368
46,46.0,0.0,-46.0,100.0,0.0660625050176439,0.1153515076474238,10.45371618909381,0.8281957530906365
47,47.0,0.0,-47.0,104.0,0.0676611515229421,0.1205072301929573,10.445074856632743,0.8370989573341397
48,48.0,0.0,-48.0,114.5,0.0717381160841559,0.1339728256304385,10.423037210355918,0.8458352200932938
49,49.0,0.0,-49.0,65.5,0.0905428384749958,0.1865468710942725,10.321390062297333,0.835313040707308
50,50.0,0.0,-50.0,75.5,0.1182214170248448,0.7671171702364965,10.171776124190044,0.529031628927113
