,q,r,s,time,Ca_cyt,IP3,Ca_stored,IP3R_act
0,0.0,0.0,0.0,71.5,0.8605074979891763,1.00128189997791,6.159418929788255,0.5809563579134768
1,0.0,1.0,-1.0,60.0,0.07961355949781082,0.15911465570857014,10.380467245957787,0.8415065275002538
2,-1.0,2.0,-1.0,115.0,0.07193194596863474,0.13461871379371787,10.421989481250627,0.8459245965088009
3,-1.0,3.0,-2.0,88.0,0.061325809052319775,0.10150675879428056,10.479319951068547,0.7590235957982057
4,-2.0,4.0,-2.0,58.5,0.07840802747440316,0.15552927011898346,10.3869836352735,0.8424987525352898
5,-2.0,5.0,-3.0,71.5,0.8605074979891763,1.00128189997791,6.159418929788255,0.5809563579134768
6,1.0,0.0,-1.0,94.0,0.06363080737477937,0.10774701975700823,10.46686050067687,0.8041405110182378
7,1.0,1.0,-2.0,84.0,0.060355189205250376,0.10362645769747134,10.484566544836497,0.7102751074154322
8,0.0,2.0,-2.0,52.5,0.0750731645364891,0.14501305394169098,10.40500992142438,0.8452035090484713
9,0.0,3.0,-3.0,61.0,0.08059495277299343,0.16194076367060925,10.375162417443288,0.8407449774021097
10,-1.0,4.0,-3.0,95.5,0.06423841401926123,0.1096094809687803,10.463576140436423,0.8116998830355431
11,-1.0,5.0,-4.0,57.5,0.07772579816461027,0.15344546588540647,10.390671361272377,0.8430784990476363
12,2.0,0.0,-2.0,94.0,0.06363080737477937,0.10774701975700823,10.46686050067687,0.8041405110182378
13,2.0,1.0,-3.0,109.5,0.06981017607354073,0.12756463725607636,10.433458507710595,0.8435976970176452
14,1.0,2.0,-3.0,85.5,0.06059054778290456,0.1012447270956089,10.483294336308633,0.7307603576218911
15,1.0,3.0,-4.0,48.0,0.07316767629537704,0.13873197565320047,10.415309857862828,0.8460586544210993
16,0.0,4.0,-4.0,108.5,0.06942312871756147,0.12628505011409585,10.435550655580752,0.8427909148998373
17,0.0,5.0,-5.0,48.5,0.07336922877535923,0.13940120103901973,10.41422038499806,0.8460190169349205
18,3.0,0.0,-3.0,66.0,0.09340445678884657,0.19255857456155906,10.305921855195434,0.8342586032894549
19,3.0,1.0,-4.0,77.5,0.07035992550796759,0.3174866662235621,10.430486889146136,0.5821188002311014
20,2.0,2.0,-4.0,60.0,0.07961355949781082,0.15911465570857014,10.380467245957787,0.8415065275002538
21,2.0,3.0,-5.0,97.5,0.06505068233358223,0.11214359817419947,10.459185500899553,0.8200568184941636
22,1.0,4.0,-5.0,111.5,0.07058137138111162,0.1301225236391579,10.429289884426423,0.8448187654420368
23,1.0,5.0,-6.0,70.0,0.9083662484007191,0.7619038430248725,5.900722981617753,0.7195686281438429
