,time,Ca_cyt,IP3,Ca_stored,IP3R_act
94,47.0,0.07276921236513162,0.13740701890204296,10.417463716945235,0.8460908021227952
95,47.5,0.07296774028459302,0.13806743478403458,10.416390593056258,0.8460827905965244
96,48.0,0.07316767629537704,0.13873197565320047,10.415309857862828,0.8460586544210993
97,48.5,0.07336922877535923,0.13940120103901973,10.414220384998059,0.8460190169349205
98,49.0,0.07357262703953546,0.14007572721544523,10.413120934921428,0.8459644555033631
99,49.5,0.07377812391481849,0.14075623371959345,10.412010141000977,0.8458955017935941
100,50.0,0.07398599872611909,0.1414434708659651,10.410886493372324,0.8458126418160119
101,50.5,0.07419656077167812,0.14213826843656976,10.409748320153088,0.8457163157067312
102,51.0,0.0744101533830329,0.14284154576583888,10.408593765497116,0.8456069172197892
103,51.5,0.07462715868692779,0.1435543234872631,10.407420763854443,0.8454847928906916
104,52.0,0.07484800321425093,0.14427773726898335,10.406227009652696,0.8453502408242044
105,52.5,0.0750731645364891,0.14501305394169098,10.40500992142438,0.8452035090484713
106,53.0,0.07530317915564722,0.14576169051891616,10.403766599158661,0.8450447933639933
107,53.5,0.07553865193235326,0.14652523673352383,10.402493773338628,0.8448742345989303
108,54.0,0.07578026741345766,0.1473054818736718,10.401187743711036,0.8446919151605368
109,54.5,0.07602880352104933,0.14810444690849042,10.399844305291623,0.8444978547448423
110,55.0,0.07628514819814704,0.14892442316469098,10.398458658388392,0.8442920050309972
111,55.5,0.07655031978466832,0.14976801917302335,10.397025298461251,0.8440742431403139
112,56.0,0.07682549213819642,0.15063821778013553,10.395537880334071,0.8438443635791913
113,56.5,0.07711202584298667,0.15153844626275054,10.39398904949737,0.8436020683045755
114,57.0,0.07741150730486283,0.15247266305325724,10.392370230784527,0.8433469544428791
115,57.5,0.07772579816461027,0.15344546588540647,10.390671361272378,0.8430784990476363
116,58.0,0.07805709836191824,0.15446222783901725,10.38888054939504,0.8427960400818999
117,58.5,0.07840802747440316,0.15552927011898343,10.386983635273499,0.8424987525352898
118,59.0,0.0787817308426072,0.156654083776311,10.384963617066992,0.8421856181977375
119,59.5,0.07918201979204312,0.1578456174813706,10.38279989301599,0.8418553870588749
120,60.0,0.07961355949781083,0.15911465570857017,10.380467245957787,0.8415065275002538
121,60.5,0.08008212457246174,0.16047432261253092,10.377934461770488,0.8411371612642617
122,61.0,0.08059495277299343,0.16194076367060925,10.37516241744329,0.8407449774021097
123,61.5,0.08116124391582094,0.16353408358986662,10.372101384238816,0.8403271166615648
124,62.0,0.0817928788649629,0.16527966161657587,10.36868714127048,0.8398800134507564
125,62.5,0.08250548114459376,0.167210036179263,10.36483523705626,0.8393991755033577
126,63.0,0.0833200285380285,0.1693676721581307,10.360432278172828,0.8388788696440713
127,63.5,0.08426537907456486,0.17180913984532176,10.35532227527263,0.8383116617321713
128,64.0,0.08538238037845687,0.1746116346434011,10.349284430386728,0.8376877221797729
129,64.5,0.08673085475777433,0.1778835447324189,10.341995379687717,0.8369937390180332
130,65.0,0.08840211188944165,0.18178237605106476,10.33296155735438,0.8362111415671928
131,65.5,0.09054283847499588,0.1865468710942725,10.321390062297331,0.835313040707308
132,66.0,0.09340445678884657,0.19255857456155903,10.305921855195434,0.8342586032894549
133,66.5,0.09745583646217755,0.20047025126979592,10.284022505609864,0.8329818159605727
134,67.0,0.10367640820918675,0.21150432207207018,10.250397793463868,0.8313664805710334
135,67.5,0.11446200512690696,0.22825015168864798,10.192097269584302,0.8291818606740683
136,68.0,0.13713079970578523,0.25718560372942584,10.069563244833608,0.8258806433144801
137,68.5,0.20059750946126959,0.3173443615626821,9.726499948858017,0.8197905044954336
138,69.0,0.39965291619167626,0.44684778799488634,8.650524777342305,0.8049199222962171
139,69.5,0.7137343000874444,0.617248275904761,6.952787567094911,0.7704213232807563
140,70.0,0.908366248400719,0.7619038430248725,5.900722981617752,0.719568628143843
141,70.5,0.9602371053425203,0.8699672324201959,5.620339971121529,0.6663607485946748
142,71.0,0.9309270609387098,0.9474874809858289,5.778772643574559,0.6192356638158272
143,71.5,0.8605074979891763,1.00128189997791,6.159418929788255,0.5809563579134768
144,72.0,0.7697567126020116,1.036558765086082,6.64996371566482,0.5517069349033858
145,72.5,0.6700563168210277,1.0567056709964486,7.1888847739404085,0.5307398390114114
146,73.0,0.5681090023436418,1.0633154000106042,7.739951338683037,0.5170590946749022
147,73.5,0.46779492222642916,1.0560195140803696,8.28218960958689,0.5096926251012548
148,74.0,0.37088062314570297,1.0318605404517112,8.806050685698924,0.5078032805918666
149,74.5,0.2775699638076249,0.9838222579920061,9.310432628066911,0.5107379227125103
150,75.0,0.1890581733563953,0.8989884760257926,9.7888747386141,0.5180158706896463
151,75.5,0.11822141702484489,0.7671171702364965,10.171776124190044,0.529031628927113
152,76.0,0.08551281887862704,0.6159781478599443,10.348579357412843,0.5422671308903765
153,76.5,0.07636908552872552,0.4875003475136795,10.398004943087985,0.5559182712828733
154,77.0,0.07288815451136293,0.38999748329780554,10.416820786425081,0.5692459900241519
155,77.5,0.07035992550796759,0.31748666622356214,10.430486889146136,0.5821188002311014
156,78.0,0.06814318318274809,0.2633980872127064,10.442469280093269,0.5945340030284674
157,78.5,0.06624218457117641,0.22280232417597365,10.452744948263925,0.6065006603096309
158,79.0,0.06468114220364385,0.19218769840020777,10.461183015115454,0.6180243945627981
159,79.5,0.06344378617649056,0.16903421813781405,10.467871426073039,0.6291088864053728
160,80.0,0.06249018935199126,0.15150279072992012,10.473026003502765,0.6397581317698409
