,q,r,s,time,Ca_cyt,IP3,Ca_stored,IP3R_act
31,5.0,1.0,-6.0,71.5,0.8605074979891763,1.00128189997791,6.159418929788255,0.5809563579134768
32,4.0,2.0,-6.0,62.0,0.0817928788649629,0.1652796616165758,10.36868714127048,0.8398800134507564
33,4.0,3.0,-7.0,58.0,0.0780570983619182,0.1544622278390172,10.38888054939504,0.8427960400818999
34,3.0,4.0,-7.0,89.0,0.0616796173013282,0.1022595305791829,10.477407474046885,0.7685423803838772
35,3.0,5.0,-8.0,79.0,0.0646811422036438,0.1921876984002077,10.461183015115454,0.6180243945627981
36,6.0,0.0,-6.0,47.5,0.072967740284593,0.1380674347840345,10.416390593056258,0.8460827905965244
37,6.0,1.0,-7.0,87.0,0.0609990481536351,0.1010334223748077,10.481086226196574,0.7485282548503542
38,5.0,2.0,-7.0,80.0,0.0624901893519912,0.1515027907299201,10.473026003502763,0.6397581317698409
39,5.0,3.0,-8.0,63.5,0.0842653790745648,0.1718091398453217,10.35532227527263,0.8383116617321713
40,4.0,4.0,-8.0,101.0,0.066464879859658,0.1166400370350344,10.45154118994779,0.8308460271924578
41,4.0,5.0,-9.0,94.5,0.063832975871432,0.1083628359473526,10.46576769799226,0.8067948390482667
42,7.0,0.0,-7.0,89.5,0.061863812869101,0.1027072173344744,10.476411822329194,0.7729613381558017
43,7.0,1.0,-8.0,93.5,0.0634291928479539,0.1071374835102794,10.46795030892998,0.801343273288988
44,6.0,2.0,-8.0,67.0,0.1036764082091867,0.2115043220720701,10.250397793463868,0.8313664805710334
45,6.0,3.0,-9.0,116.5,0.0725174351984492,0.1365692886439728,10.41882467460298,0.8460749709100704
46,5.0,4.0,-9.0,103.0,0.0672643241361994,0.1192187776001205,10.447219869534056,0.835272027011608
47,5.0,5.0,-10.0,50.0,0.073985998726119,0.1414434708659651,10.410886493372324,0.8458126418160119
48,8.0,0.0,-8.0,91.0,0.0624363779071552,0.1042366230957261,10.473316876177549,0.784971050399681
49,8.0,1.0,-9.0,64.5,0.0867308547577743,0.1778835447324189,10.341995379687717,0.8369937390180332
50,7.0,2.0,-9.0,76.5,0.0763690855287255,0.4875003475136795,10.398004943087985,0.5559182712828733
51,7.0,3.0,-10.0,77.0,0.0728881545113629,0.3899974832978055,10.41682078642508,0.5692459900241519
52,6.0,4.0,-10.0,92.5,0.0630283233885902,0.1059423173153604,10.470117170872488,0.79529326839779
53,6.0,5.0,-11.0,95.0,0.0640355533986037,0.1089839343186954,10.46467268433187,0.8093126040702355
54,9.0,0.0,-9.0,97.5,0.0650506823335822,0.1121435981741994,10.459185500899553,0.8200568184941636
55,9.0,1.0,-10.0,72.5,0.6700563168210277,1.0567056709964486,7.1888847739404085,0.5307398390114114
56,8.0,2.0,-10.0,70.0,0.908366248400719,0.7619038430248725,5.900722981617752,0.719568628143843
57,8.0,3.0,-11.0,57.0,0.0774115073048628,0.1524726630532572,10.392370230784527,0.8433469544428791
58,7.0,4.0,-11.0,85.5,0.0605905477829045,0.1012447270956089,10.483294336308632,0.730760357621891
59,7.0,5.0,-12.0,48.0,0.073167676295377,0.1387319756532004,10.415309857862828,0.8460586544210993
60,10.0,0.0,-10.0,100.0,0.0660625050176439,0.1153515076474238,10.45371618909381,0.8281957530906365
61,10.0,1.0,-11.0,89.0,0.0616796173013282,0.1022595305791829,10.477407474046885,0.7685423803838772
62,9.0,2.0,-11.0,86.0,0.0607126060996759,0.1010077725753403,10.482634561623382,0.7369684952508123
63,9.0,3.0,-12.0,94.5,0.063832975871432,0.1083628359473526,10.46576769799226,0.8067948390482667
64,8.0,4.0,-12.0,56.5,0.0771120258429866,0.1515384462627505,10.39398904949737,0.8436020683045755
65,8.0,5.0,-13.0,95.5,0.0642384140192612,0.1096094809687803,10.463576140436423,0.8116998830355431
66,11.0,0.0,-11.0,60.5,0.0800821245724617,0.1604743226125309,10.377934461770488,0.8411371612642617
67,11.0,1.0,-12.0,90.5,0.0622427894523914,0.1037017990457941,10.474363300257352,0.7811665905737101
68,10.0,2.0,-12.0,115.5,0.0721263548364007,0.1352665227310418,10.420938622505943,0.8459937700541348
