,q,r,s,time,Ca_cyt,IP3,Ca_stored,IP3R_act
0,0.0,0.0,0.0,63.0,0.0833200285380285,0.1693676721581307,10.360432278172828,0.8388788696440713
1,0.0,1.0,-1.0,74.5,0.2775699638076249,0.983822257992006,9.310432628066913,0.5107379227125103
2,-1.0,2.0,-1.0,55.5,0.0765503197846683,0.1497680191730233,10.397025298461251,0.8440742431403139
3,-1.0,3.0,-2.0,66.5,0.0974558364621775,0.2004702512697959,10.284022505609864,0.8329818159605727
4,-2.0,4.0,-2.0,47.5,0.072967740284593,0.1380674347840345,10.416390593056258,0.8460827905965244
5,-2.0,5.0,-3.0,61.5,0.0811612439158209,0.1635340835898666,10.372101384238816,0.8403271166615648
6,-3.0,6.0,-3.0,79.5,0.0634437861764905,0.169034218137814,10.46787142607304,0.6291088864053728
7,-3.0,7.0,-4.0,59.0,0.0787817308426072,0.156654083776311,10.384963617066992,0.8421856181977375
8,-4.0,8.0,-4.0,107.0,0.0688398456582746,0.1243631017819128,10.438703536982295,0.8412981305173027
9,-4.0,9.0,-5.0,50.5,0.0741965607716781,0.1421382684365697,10.409748320153088,0.8457163157067312
10,-5.0,10.0,-5.0,71.0,0.9309270609387098,0.9474874809858288,5.778772643574559,0.6192356638158272
11,-5.0,11.0,-6.0,116.5,0.0725174351984492,0.1365692886439728,10.41882467460298,0.8460749709100704
12,-6.0,12.0,-6.0,81.0,0.061247337953628,0.1281976573169397,10.479744119169592,0.6597746687910251
13,-6.0,13.0,-7.0,83.5,0.0603397693296105,0.1052741899213742,10.48464989551563,0.7027837970631301
14,-7.0,14.0,-7.0,92.0,0.0628294910159072,0.1053599297298076,10.47119194045456,0.792026361198306
15,-7.0,15.0,-8.0,94.0,0.0636308073747793,0.1077470197570082,10.46686050067687,0.8041405110182378
16,-8.0,16.0,-8.0,103.5,0.0674629861403273,0.1198631500120957,10.446146020863097,0.8362152026130137
17,-8.0,17.0,-9.0,73.0,0.5681090023436418,1.0633154000106042,7.739951338683037,0.5170590946749022
18,-9.0,18.0,-9.0,66.5,0.0974558364621775,0.2004702512697959,10.284022505609864,0.8329818159605727
19,-9.0,19.0,-10.0,51.0,0.0744101533830329,0.1428415457658388,10.408593765497116,0.8456069172197892
20,-10.0,20.0,-10.0,113.5,0.0713517333510865,0.132685612382971,10.425125765669804,0.8455920843074637
21,-10.0,21.0,-11.0,77.0,0.0728881545113629,0.3899974832978055,10.41682078642508,0.5692459900241519
22,-11.0,22.0,-11.0,76.5,0.0763690855287255,0.4875003475136795,10.398004943087985,0.5559182712828733
23,-11.0,23.0,-12.0,104.5,0.0678588181426559,0.1211509582893453,10.444006388418073,0.8379260180438924
24,-12.0,24.0,-12.0,56.5,0.0771120258429866,0.1515384462627505,10.39398904949737,0.8436020683045755
25,-12.0,25.0,-13.0,58.5,0.0784080274744031,0.1555292701189834,10.3869836352735,0.8424987525352898
26,-13.0,26.0,-13.0,52.5,0.0750731645364891,0.1450130539416909,10.40500992142438,0.8452035090484713
27,-13.0,27.0,-14.0,106.0,0.0684488576341929,0.1230796210527276,10.440816985761115,0.8400925138830307
28,-14.0,28.0,-14.0,92.0,0.0628294910159072,0.1053599297298076,10.47119194045456,0.792026361198306
